cuenta_id,nombre,saldo,edad,tipo
110,Diana Prince,8000,40,-1
137,Jane Smith,8000,100,ahorro
139,Charlie Green,7000,150,prestamo
132,Charlie Green,5000,100,ahorro
143,Steve Rogers,8000,40,prestamo
144,Alice Brown,7000,,prestamo
148,Alice Brown,8000,100,-1
106,Diana Prince,7000,30,-1
137,Charlie Green,5000,40,hipoteca
106,Charlie Green,,35,hipoteca
118,Jane Smith,12000,35,ahorro
107,Jane Smith,,40,prestamo
143,Bob Johnson,12000,45,-1
140,Diana Prince,5000,100,prestamo
114,Bob Johnson,7000,,ahorro
109,Diana Prince,7000,25,-1
132,Unknown,5000,35,hipoteca
110,Steve Rogers,,25,hipoteca
139,Diana Prince,12000,100,unknown
150,Diana Prince,8000,,-1
102,Charlie Green,,30,ahorro
145,Steve Rogers,12000,30,ahorro
107,Jane Smith,,100,hipoteca
144,Charlie Green,8000,25,-1
116,Steve Rogers,,40,-1
135,Bob Johnson,,40,hipoteca
139,Charlie Green,10000,,-1
138,Bob Johnson,8000,,-1
142,Unknown,7000,45,hipoteca
123,Jane Smith,8000,40,unknown
127,Jane Smith,8000,100,ahorro
145,Bob Johnson,12000,25,-1
128,Jane Smith,,45,hipoteca
133,John Doe,12000,,prestamo
145,Jane Smith,7000,100,-1
145,Charlie Green,10000,30,unknown
124,Steve Rogers,10000,100,hipoteca
140,Charlie Green,,35,hipoteca
114,Bob Johnson,,,prestamo
101,Bob Johnson,8000,,ahorro
128,Jane Smith,8000,25,-1
128,Diana Prince,8000,40,ahorro
111,Jane Smith,7000,,ahorro
145,Steve Rogers,12000,100,ahorro
114,Steve Rogers,5000,,-1
119,John Doe,12000,35,-1
101,Bob Johnson,12000,100,hipoteca
107,Unknown,10000,30,-1
105,Steve Rogers,,35,hipoteca
104,John Doe,,45,ahorro
122,Bob Johnson,10000,,ahorro
128,Steve Rogers,8000,100,ahorro
117,Jane Smith,,25,-1
135,Alice Brown,8000,100,ahorro
149,Alice Brown,,35,ahorro
121,Jane Smith,12000,40,hipoteca
125,Bob Johnson,10000,30,-1
126,John Doe,10000,100,prestamo
138,Bob Johnson,,35,prestamo
149,Bob Johnson,5000,45,ahorro
134,Diana Prince,12000,40,prestamo
102,Jane Smith,12000,,hipoteca
120,Diana Prince,12000,45,-1
101,Bob Johnson,10000,35,-1
121,Alice Brown,5000,,-1
127,Bob Johnson,,,prestamo
140,Charlie Green,8000,30,prestamo
122,Unknown,10000,30,ahorro
136,John Doe,10000,35,prestamo
102,Alice Brown,5000,35,hipoteca
117,Unknown,5000,45,ahorro
128,Unknown,10000,30,prestamo
123,Alice Brown,7000,35,ahorro
108,John Doe,,,-1
134,John Doe,5000,45,-1
105,Alice Brown,,30,ahorro
138,Diana Prince,10000,30,-1
113,Bob Johnson,5000,100,hipoteca
134,Steve Rogers,5000,,prestamo
147,Steve Rogers,10000,150,-1
149,Steve Rogers,7000,25,ahorro
124,Unknown,12000,35,hipoteca
149,Alice Brown,10000,100,prestamo
106,Unknown,8000,25,ahorro
131,Charlie Green,,25,ahorro
111,Alice Brown,8000,,-1
129,Steve Rogers,5000,35,prestamo
121,Charlie Green,,45,prestamo
113,Diana Prince,5000,35,ahorro
135,Diana Prince,8000,40,prestamo
129,Steve Rogers,10000,,prestamo
116,John Doe,7000,30,hipoteca
147,Diana Prince,8000,45,hipoteca
106,Diana Prince,10000,35,ahorro
122,Diana Prince,10000,35,ahorro
106,John Doe,5000,25,-1
114,Diana Prince,12000,40,hipoteca
133,Jane Smith,12000,25,prestamo
102,Diana Prince,12000,30,hipoteca
108,Diana Prince,5000,25,unknown
120,Steve Rogers,5000,40,hipoteca
104,John Doe,7000,100,prestamo
107,Steve Rogers,5000,25,hipoteca
117,Bob Johnson,5000,100,prestamo
141,Jane Smith,12000,100,prestamo
115,Alice Brown,12000,150,prestamo
103,Bob Johnson,7000,30,ahorro
107,Diana Prince,8000,25,hipoteca
113,Steve Rogers,8000,25,-1
101,Bob Johnson,,100,prestamo
138,Charlie Green,12000,,hipoteca
128,Diana Prince,7000,35,prestamo
146,Steve Rogers,10000,,-1
