cuenta_id,nombre,saldo,edad,tipo
125,Steve Rogers,,100,ahorro
110,Jane Smith,7000,40,ahorro
139,Alice Brown,12000,100,unknown
115,Alice Brown,7000,,ahorro
106,Diana Prince,5000,100,unknown
114,Steve Rogers,7000,45,-1
117,Bob Johnson,7000,40,ahorro
103,Charlie Green,,30,hipoteca
109,Diana Prince,,40,hipoteca
111,John Doe,12000,40,hipoteca
107,John Doe,12000,45,hipoteca
102,Jane Smith,5000,,prestamo
103,Diana Prince,8000,45,prestamo
109,Diana Prince,5000,45,hipoteca
122,Diana Prince,8000,30,ahorro
137,John Doe,10000,150,prestamo
136,Diana Prince,,30,unknown
123,John Doe,8000,,ahorro
106,Alice Brown,12000,100,ahorro
123,Alice Brown,10000,,-1
129,Steve Rogers,7000,40,ahorro
142,John Doe,8000,100,hipoteca
138,Jane Smith,7000,45,ahorro
122,Diana Prince,5000,25,-1
126,Charlie Green,,35,hipoteca
129,Steve Rogers,7000,45,ahorro
106,Charlie Green,12000,35,ahorro
121,Bob Johnson,5000,25,-1
149,Charlie Green,,100,prestamo
143,Diana Prince,,40,hipoteca
121,Charlie Green,5000,,ahorro
116,John Doe,12000,,-1
133,Jane Smith,12000,45,ahorro
114,Steve Rogers,10000,45,hipoteca
135,Alice Brown,12000,45,prestamo
102,Alice Brown,12000,30,hipoteca
104,Unknown,10000,25,ahorro
145,Jane Smith,,25,prestamo
138,Alice Brown,,45,ahorro
114,John Doe,8000,25,-1
141,Steve Rogers,7000,45,hipoteca
115,John Doe,5000,35,ahorro
101,Steve Rogers,10000,100,ahorro
128,Diana Prince,8000,35,-1
120,Alice Brown,10000,100,-1
150,Unknown,10000,100,-1
121,Alice Brown,5000,40,-1
114,Bob Johnson,8000,45,unknown
117,Alice Brown,5000,,ahorro
147,Diana Prince,8000,150,ahorro
109,Bob Johnson,,,hipoteca
112,Diana Prince,10000,150,-1
149,Diana Prince,5000,25,hipoteca
120,Alice Brown,5000,45,-1
138,Diana Prince,5000,40,ahorro
112,Jane Smith,,150,hipoteca
149,Charlie Green,12000,40,prestamo
141,Alice Brown,5000,,-1
149,Steve Rogers,10000,40,-1
118,John Doe,7000,35,prestamo
132,Bob Johnson,7000,100,-1
141,Alice Brown,10000,30,-1
123,Unknown,7000,100,prestamo
118,John Doe,10000,100,hipoteca
138,Jane Smith,,,hipoteca
123,Alice Brown,8000,45,-1
129,Bob Johnson,12000,45,prestamo
144,Charlie Green,7000,30,-1
126,Diana Prince,5000,45,ahorro
136,Steve Rogers,12000,35,-1
105,John Doe,10000,150,ahorro
115,Bob Johnson,7000,35,hipoteca
147,John Doe,,30,ahorro
145,Bob Johnson,,35,ahorro
138,Charlie Green,,100,prestamo
134,Unknown,7000,45,ahorro
123,Charlie Green,5000,40,-1
115,John Doe,10000,35,prestamo
146,Bob Johnson,10000,40,-1
113,John Doe,8000,25,hipoteca
132,Steve Rogers,5000,45,hipoteca
101,Jane Smith,7000,45,hipoteca
123,Unknown,10000,35,prestamo
140,Unknown,12000,40,hipoteca
105,Diana Prince,7000,100,ahorro
128,Steve Rogers,5000,,ahorro
113,Unknown,,40,-1
106,Charlie Green,10000,100,ahorro
116,Diana Prince,8000,100,ahorro
140,John Doe,,30,hipoteca
127,Diana Prince,8000,30,ahorro
110,Alice Brown,7000,,-1
115,Diana Prince,,40,-1
138,Charlie Green,5000,,-1
150,Diana Prince,8000,35,-1
101,Steve Rogers,5000,35,-1
105,Alice Brown,,25,prestamo
150,Steve Rogers,,25,hipoteca
137,Charlie Green,7000,150,hipoteca
124,John Doe,,35,prestamo
132,John Doe,,40,-1
113,Alice Brown,,,-1
119,Steve Rogers,,35,-1
113,Charlie Green,7000,,unknown
146,Charlie Green,8000,25,unknown
121,Alice Brown,5000,25,hipoteca
143,John Doe,12000,35,prestamo
118,Jane Smith,5000,25,-1
144,Diana Prince,8000,100,prestamo
127,John Doe,12000,100,ahorro
120,John Doe,,,-1
133,Steve Rogers,5000,35,prestamo
114,Jane Smith,12000,100,unknown
139,Charlie Green,12000,45,-1
132,Alice Brown,12000,100,hipoteca
108,Alice Brown,5000,25,hipoteca
107,John Doe,8000,35,hipoteca
107,Bob Johnson,8000,45,-1
118,Charlie Green,5000,100,hipoteca
149,Steve Rogers,,150,prestamo
107,Alice Brown,10000,45,prestamo
128,Diana Prince,7000,,hipoteca
102,Diana Prince,5000,35,hipoteca
127,Charlie Green,7000,30,-1
112,Bob Johnson,5000,25,ahorro
120,Jane Smith,5000,150,-1
146,John Doe,,45,unknown
132,Bob Johnson,8000,100,prestamo
112,Jane Smith,,100,-1
129,Steve Rogers,7000,150,-1
136,Bob Johnson,10000,,hipoteca
134,Diana Prince,12000,100,ahorro
105,Jane Smith,10000,25,-1
112,Bob Johnson,,25,ahorro
150,John Doe,7000,40,ahorro
111,Steve Rogers,10000,,-1
149,Unknown,8000,40,ahorro
109,John Doe,8000,25,hipoteca
147,John Doe,,30,ahorro
144,Alice Brown,8000,30,hipoteca
120,Bob Johnson,5000,45,-1
133,John Doe,10000,,hipoteca
114,Jane Smith,5000,35,ahorro
114,Steve Rogers,10000,100,-1
132,Diana Prince,7000,,-1
147,Unknown,5000,45,-1
104,Steve Rogers,,,hipoteca
108,Alice Brown,,100,prestamo
126,Unknown,12000,25,-1
118,Jane Smith,10000,45,ahorro
110,John Doe,8000,25,-1
116,Steve Rogers,7000,150,hipoteca
107,John Doe,7000,25,-1
133,Alice Brown,5000,35,prestamo
115,Bob Johnson,10000,45,hipoteca
134,Diana Prince,10000,40,-1
145,John Doe,5000,35,hipoteca
141,John Doe,10000,35,prestamo
103,John Doe,,45,hipoteca
117,Alice Brown,10000,100,unknown
106,Diana Prince,8000,25,-1
128,Jane Smith,8000,30,-1
103,Jane Smith,7000,25,unknown
120,Jane Smith,5000,,ahorro
109,Alice Brown,,150,hipoteca
135,Charlie Green,12000,,prestamo
129,Diana Prince,,30,hipoteca
130,John Doe,,40,ahorro
130,Jane Smith,8000,25,prestamo
104,Bob Johnson,12000,30,prestamo
144,Steve Rogers,10000,,prestamo
120,Jane Smith,,25,prestamo
101,John Doe,10000,35,prestamo
102,Jane Smith,,150,hipoteca
145,Alice Brown,,100,hipoteca
136,Jane Smith,7000,40,ahorro
122,Alice Brown,10000,45,hipoteca
121,Diana Prince,7000,45,prestamo
134,Charlie Green,10000,45,prestamo
137,Jane Smith,8000,,-1
130,Alice Brown,,25,-1
116,Alice Brown,12000,40,unknown
133,Alice Brown,5000,35,hipoteca
126,Bob Johnson,,,ahorro
129,Jane Smith,10000,,-1
138,Unknown,10000,30,-1
148,Unknown,5000,100,ahorro
124,Steve Rogers,7000,,hipoteca
110,Alice Brown,7000,,-1
139,Jane Smith,,100,-1
107,Alice Brown,7000,100,prestamo
142,Steve Rogers,7000,30,-1
113,John Doe,,30,prestamo
107,Alice Brown,10000,40,-1
140,Charlie Green,5000,,prestamo
113,Alice Brown,7000,150,-1
114,Bob Johnson,7000,,-1
102,Bob Johnson,5000,150,hipoteca
138,Jane Smith,7000,45,prestamo
143,Charlie Green,,45,-1
103,Jane Smith,10000,100,-1
107,Alice Brown,7000,,hipoteca
112,Bob Johnson,10000,30,ahorro
107,Bob Johnson,,35,hipoteca
142,Steve Rogers,,25,ahorro
148,Charlie Green,8000,,ahorro
144,Bob Johnson,10000,,unknown
118,Diana Prince,7000,40,prestamo
114,Steve Rogers,10000,,unknown
103,Jane Smith,5000,,ahorro
150,Diana Prince,10000,25,-1
125,John Doe,,25,-1
150,Jane Smith,8000,150,hipoteca
123,John Doe,5000,35,unknown
120,John Doe,7000,30,prestamo
138,Bob Johnson,10000,30,-1
141,John Doe,12000,25,ahorro
113,Steve Rogers,7000,45,hipoteca
102,Charlie Green,12000,40,ahorro
137,Jane Smith,7000,150,ahorro
103,Diana Prince,10000,100,-1
136,Alice Brown,5000,25,prestamo
145,Steve Rogers,,100,-1
138,John Doe,10000,25,unknown
117,Diana Prince,12000,,hipoteca
131,Bob Johnson,10000,,-1
132,Unknown,12000,,prestamo
146,Bob Johnson,,30,-1
108,John Doe,8000,45,prestamo
112,Jane Smith,5000,40,unknown
119,Steve Rogers,5000,45,unknown
137,Alice Brown,8000,,-1
127,Charlie Green,7000,30,unknown
109,Unknown,,25,-1
118,John Doe,,40,hipoteca
121,John Doe,,25,ahorro
105,Bob Johnson,8000,40,ahorro
119,John Doe,8000,,ahorro
122,Bob Johnson,5000,40,ahorro
122,Diana Prince,7000,,ahorro
113,John Doe,12000,,ahorro
131,Bob Johnson,7000,35,-1
111,Steve Rogers,,,hipoteca
114,Diana Prince,,,ahorro
139,Charlie Green,5000,35,unknown
134,Bob Johnson,5000,25,prestamo
150,Alice Brown,7000,35,ahorro
103,John Doe,5000,,prestamo
108,Alice Brown,5000,30,unknown
140,Alice Brown,8000,40,ahorro
